Order Date,Region,Country,Category,Product,Sales Rep,Channel,Units Sold,Unit Price,Unit Cost,Revenue,Cost,Profit,Margin %
2025-01-21,South,Brazil,Office,Monitor Arm,A. Patel,Wholesale,6,$64.99,$31.85,$389.94,$191.10,$198.84,51.0%
2025-01-21,North,Canada,Office,Desk Chair,L. Rossi,Online,39,$179.99,$82.80,"$7,019.61","$3,229.20","$3,790.41",54.0%
2025-01-21,West,Germany,Office,Desk Lamp,K. Ivanova,Online,10,$29.99,$16.79,$299.90,$167.90,$132.00,44.0%
2025-01-21,East,Japan,Home & Kitchen,Coffee Maker,K. Ivanova,Online,34,$69.99,$41.29,"$2,379.66","$1,403.86",$975.80,41.0%
2025-01-22,North,USA,Electronics,Bluetooth Speaker,R. Chen,Retail Store,27,$39.99,$20.39,"$1,079.73",$550.53,$529.20,49.0%
2025-01-22,West,UK,Home & Kitchen,Cookware Set,M. Silva,Retail Store,15,$119.99,$56.40,"$1,799.85",$846.00,$953.85,53.0%
2025-01-22,East,India,Office,Notebook Set,S. Owusu,Online,36,$14.99,$8.69,$539.64,$312.84,$226.80,42.0%
2025-01-23,North,USA,Apparel,Running Shoes,M. Silva,Wholesale,16,$74.99,$39.74,"$1,199.84",$635.84,$564.00,47.0%
2025-01-23,South,Brazil,Apparel,Jacket,J. Kim,Online,4,$99.99,$46.00,$399.96,$184.00,$215.96,54.0%
2025-01-24,South,Argentina,Electronics,Wireless Earbuds,R. Chen,Online,14,$59.99,$34.79,$839.86,$487.06,$352.80,42.0%
2025-01-24,North,Canada,Electronics,Wireless Earbuds,M. Silva,Online,1,$59.99,$34.79,$59.99,$34.79,$25.20,42.0%
2025-01-24,West,UK,Office,Notebook Set,T. Novak,Online,36,$14.99,$8.69,$539.64,$312.84,$226.80,42.0%
2025-01-24,North,Canada,Apparel,Running Shoes,R. Chen,Wholesale,22,$74.99,$39.74,"$1,649.78",$874.28,$775.50,47.0%
2025-01-24,South,Brazil,Electronics,Smart Watch,A. Patel,Wholesale,7,$149.99,$69.00,"$1,049.93",$483.00,$566.93,54.0%
2025-01-24,South,Argentina,Apparel,Running Shoes,S. Owusu,Online,28,$74.99,$39.74,"$2,099.72","$1,112.72",$987.00,47.0%
2025-01-24,East,India,Electronics,Wireless Earbuds,K. Ivanova,Retail Store,8,$59.99,$34.79,$479.92,$278.32,$201.60,42.0%
2025-01-25,North,Canada,Office,Desk Lamp,T. Novak,Online,7,$29.99,$16.79,$209.93,$117.53,$92.40,44.0%
2025-01-26,East,India,Apparel,Backpack,K. Ivanova,Online,8,$54.99,$26.95,$439.92,$215.60,$224.32,51.0%
2025-01-26,South,Brazil,Home & Kitchen,Coffee Maker,R. Chen,Online,27,$69.99,$41.29,"$1,889.73","$1,114.83",$774.90,41.0%
2025-01-27,North,Canada,Apparel,Running Shoes,A. Patel,Online,9,$74.99,$39.74,$674.91,$357.66,$317.25,47.0%
2025-01-27,East,India,Electronics,Wireless Earbuds,A. Patel,Wholesale,13,$59.99,$34.79,$779.87,$452.27,$327.60,42.0%
2025-01-27,East,Japan,Apparel,Running Shoes,R. Chen,Online,31,$74.99,$39.74,"$2,324.69","$1,231.94","$1,092.75",47.0%
2025-01-28,West,Germany,Home & Kitchen,Cookware Set,J. Kim,Online,2,$119.99,$56.40,$239.98,$112.80,$127.18,53.0%
2025-01-28,North,Canada,Home & Kitchen,Air Fryer,L. Rossi,Online,27,$89.99,$53.99,"$2,429.73","$1,457.73",$972.00,40.0%
2025-01-28,South,Brazil,Home & Kitchen,Blender,L. Rossi,Wholesale,30,$44.99,$28.34,"$1,349.70",$850.20,$499.50,37.0%
2025-01-28,West,UK,Apparel,Running Shoes,T. Novak,Online,38,$74.99,$39.74,"$2,849.62","$1,510.12","$1,339.50",47.0%
2025-01-28,West,Germany,Electronics,Bluetooth Speaker,L. Rossi,Wholesale,12,$39.99,$20.39,$479.88,$244.68,$235.20,49.0%
2025-01-28,East,India,Apparel,Jacket,S. Owusu,Online,15,$99.99,$46.00,"$1,499.85",$690.00,$809.85,54.0%
2025-01-28,North,Canada,Electronics,Bluetooth Speaker,A. Patel,Online,38,$39.99,$20.39,"$1,519.62",$774.82,$744.80,49.0%
2025-01-28,East,India,Electronics,Smart Watch,K. Ivanova,Online,20,$149.99,$69.00,"$2,999.80","$1,380.00","$1,619.80",54.0%
2025-01-28,East,India,Electronics,Laptop Stand,J. Kim,Retail Store,38,$24.99,$12.25,$949.62,$465.50,$484.12,51.0%
2025-01-28,West,Germany,Home & Kitchen,Coffee Maker,R. Chen,Retail Store,22,$69.99,$41.29,"$1,539.78",$908.38,$631.40,41.0%
2025-01-29,South,Argentina,Home & Kitchen,Blender,S. Owusu,Online,10,$44.99,$28.34,$449.90,$283.40,$166.50,37.0%
2025-01-29,East,India,Electronics,Wireless Earbuds,M. Silva,Retail Store,11,$59.99,$34.79,$659.89,$382.69,$277.20,42.0%
2025-01-29,East,Japan,Home & Kitchen,Cookware Set,S. Owusu,Online,1,$119.99,$56.40,$119.99,$56.40,$63.59,53.0%
2025-01-30,West,Germany,Home & Kitchen,Air Fryer,K. Ivanova,Wholesale,17,$89.99,$53.99,"$1,529.83",$917.83,$612.00,40.0%
2025-01-31,South,Argentina,Electronics,Laptop Stand,T. Novak,Wholesale,30,$24.99,$12.25,$749.70,$367.50,$382.20,51.0%
2025-01-31,East,Japan,Home & Kitchen,Blender,T. Novak,Online,18,$44.99,$28.34,$809.82,$510.12,$299.70,37.0%
2025-01-31,South,Argentina,Office,Desk Chair,K. Ivanova,Retail Store,17,$179.99,$82.80,"$3,059.83","$1,407.60","$1,652.23",54.0%
2025-01-31,North,Canada,Home & Kitchen,Cookware Set,S. Owusu,Wholesale,39,$119.99,$56.40,"$4,679.61","$2,199.60","$2,480.01",53.0%
2025-02-01,South,Argentina,Office,Desk Chair,L. Rossi,Online,23,$179.99,$82.80,"$4,139.77","$1,904.40","$2,235.37",54.0%
2025-02-01,East,India,Electronics,Bluetooth Speaker,K. Ivanova,Online,36,$39.99,$20.39,"$1,439.64",$734.04,$705.60,49.0%
2025-02-02,North,USA,Apparel,Running Shoes,T. Novak,Retail Store,20,$74.99,$39.74,"$1,499.80",$794.80,$705.00,47.0%
2025-02-02,East,Japan,Home & Kitchen,Air Fryer,R. Chen,Online,24,$89.99,$53.99,"$2,159.76","$1,295.76",$864.00,40.0%
2025-02-02,East,Japan,Office,Desk Chair,K. Ivanova,Retail Store,23,$179.99,$82.80,"$4,139.77","$1,904.40","$2,235.37",54.0%
2025-02-03,South,Argentina,Home & Kitchen,Blender,R. Chen,Retail Store,2,$44.99,$28.34,$89.98,$56.68,$33.30,37.0%
2025-02-04,South,Brazil,Home & Kitchen,Cookware Set,S. Owusu,Online,40,$119.99,$56.40,"$4,799.60","$2,256.00","$2,543.60",53.0%
2025-02-04,West,UK,Home & Kitchen,Cookware Set,S. Owusu,Online,40,$119.99,$56.40,"$4,799.60","$2,256.00","$2,543.60",53.0%
2025-02-05,West,UK,Apparel,Sunglasses,M. Silva,Retail Store,27,$34.99,$19.24,$944.73,$519.48,$425.25,45.0%
2025-02-05,North,Canada,Apparel,Sunglasses,A. Patel,Online,9,$34.99,$19.24,$314.91,$173.16,$141.75,45.0%
2025-02-05,North,Canada,Apparel,Sunglasses,M. Silva,Online,26,$34.99,$19.24,$909.74,$500.24,$409.50,45.0%
2025-02-06,South,Argentina,Home & Kitchen,Cookware Set,J. Kim,Online,10,$119.99,$56.40,"$1,199.90",$564.00,$635.90,53.0%
2025-02-06,North,Canada,Apparel,Jacket,L. Rossi,Wholesale,37,$99.99,$46.00,"$3,699.63","$1,702.00","$1,997.63",54.0%
2025-02-06,West,UK,Home & Kitchen,Blender,L. Rossi,Retail Store,8,$44.99,$28.34,$359.92,$226.72,$133.20,37.0%
2025-02-06,North,USA,Office,Desk Chair,K. Ivanova,Wholesale,40,$179.99,$82.80,"$7,199.60","$3,312.00","$3,887.60",54.0%
2025-02-08,North,USA,Home & Kitchen,Cookware Set,M. Silva,Online,22,$119.99,$56.40,"$2,639.78","$1,240.80","$1,398.98",53.0%
2025-02-09,North,USA,Apparel,Backpack,M. Silva,Online,10,$54.99,$26.95,$549.90,$269.50,$280.40,51.0%
2025-02-09,East,Japan,Home & Kitchen,Cookware Set,R. Chen,Online,9,$119.99,$56.40,"$1,079.91",$507.60,$572.31,53.0%
2025-02-09,East,Japan,Office,Notebook Set,K. Ivanova,Retail Store,29,$14.99,$8.69,$434.71,$252.01,$182.70,42.0%
2025-02-10,North,Canada,Electronics,Smart Watch,M. Silva,Retail Store,36,$149.99,$69.00,"$5,399.64","$2,484.00","$2,915.64",54.0%
2025-02-10,North,Canada,Office,Notebook Set,A. Patel,Wholesale,12,$14.99,$8.69,$179.88,$104.28,$75.60,42.0%
2025-02-10,West,Germany,Office,Monitor Arm,M. Silva,Retail Store,22,$64.99,$31.85,"$1,429.78",$700.70,$729.08,51.0%
2025-02-10,West,UK,Electronics,Laptop Stand,J. Kim,Online,30,$24.99,$12.25,$749.70,$367.50,$382.20,51.0%
2025-02-11,West,UK,Apparel,Sunglasses,K. Ivanova,Online,17,$34.99,$19.24,$594.83,$327.08,$267.75,45.0%
2025-02-11,West,Germany,Home & Kitchen,Coffee Maker,A. Patel,Wholesale,13,$69.99,$41.29,$909.87,$536.77,$373.10,41.0%
2025-02-12,East,Japan,Apparel,Jacket,A. Patel,Retail Store,1,$99.99,$46.00,$99.99,$46.00,$53.99,54.0%
2025-02-12,East,Japan,Office,Desk Chair,K. Ivanova,Online,9,$179.99,$82.80,"$1,619.91",$745.20,$874.71,54.0%
2025-02-13,East,India,Electronics,Wireless Earbuds,T. Novak,Online,10,$59.99,$34.79,$599.90,$347.90,$252.00,42.0%
2025-02-13,West,Germany,Home & Kitchen,Coffee Maker,T. Novak,Online,9,$69.99,$41.29,$629.91,$371.61,$258.30,41.0%
2025-02-13,West,Germany,Home & Kitchen,Coffee Maker,K. Ivanova,Retail Store,32,$69.99,$41.29,"$2,239.68","$1,321.28",$918.40,41.0%
2025-02-13,South,Argentina,Office,Desk Lamp,M. Silva,Online,28,$29.99,$16.79,$839.72,$470.12,$369.60,44.0%
2025-02-14,East,Japan,Apparel,Sunglasses,L. Rossi,Retail Store,34,$34.99,$19.24,"$1,189.66",$654.16,$535.50,45.0%
2025-02-14,East,Japan,Electronics,Wireless Earbuds,T. Novak,Online,20,$59.99,$34.79,"$1,199.80",$695.80,$504.00,42.0%
2025-02-14,North,Canada,Home & Kitchen,Blender,J. Kim,Online,18,$44.99,$28.34,$809.82,$510.12,$299.70,37.0%
2025-02-15,East,India,Electronics,Wireless Earbuds,L. Rossi,Retail Store,30,$59.99,$34.79,"$1,799.70","$1,043.70",$756.00,42.0%
2025-02-15,North,USA,Home & Kitchen,Cookware Set,L. Rossi,Online,10,$119.99,$56.40,"$1,199.90",$564.00,$635.90,53.0%
2025-02-15,West,Germany,Home & Kitchen,Cookware Set,S. Owusu,Online,29,$119.99,$56.40,"$3,479.71","$1,635.60","$1,844.11",53.0%
2025-02-16,South,Argentina,Office,Desk Lamp,S. Owusu,Online,20,$29.99,$16.79,$599.80,$335.80,$264.00,44.0%
2025-02-16,South,Argentina,Electronics,Smart Watch,S. Owusu,Online,16,$149.99,$69.00,"$2,399.84","$1,104.00","$1,295.84",54.0%
2025-02-16,West,UK,Apparel,Sunglasses,S. Owusu,Online,3,$34.99,$19.24,$104.97,$57.72,$47.25,45.0%
2025-02-16,South,Argentina,Office,Desk Chair,J. Kim,Online,24,$179.99,$82.80,"$4,319.76","$1,987.20","$2,332.56",54.0%
2025-02-16,South,Brazil,Office,Monitor Arm,S. Owusu,Online,32,$64.99,$31.85,"$2,079.68","$1,019.20","$1,060.48",51.0%
2025-02-17,East,Japan,Home & Kitchen,Air Fryer,L. Rossi,Online,30,$89.99,$53.99,"$2,699.70","$1,619.70","$1,080.00",40.0%
2025-02-18,East,India,Office,Desk Chair,A. Patel,Wholesale,22,$179.99,$82.80,"$3,959.78","$1,821.60","$2,138.18",54.0%
2025-02-18,South,Argentina,Apparel,Backpack,T. Novak,Retail Store,24,$54.99,$26.95,"$1,319.76",$646.80,$672.96,51.0%
2025-02-19,East,India,Electronics,Smart Watch,T. Novak,Online,32,$149.99,$69.00,"$4,799.68","$2,208.00","$2,591.68",54.0%
2025-02-19,North,USA,Home & Kitchen,Coffee Maker,S. Owusu,Online,10,$69.99,$41.29,$699.90,$412.90,$287.00,41.0%
2025-02-21,North,USA,Apparel,Jacket,S. Owusu,Wholesale,16,$99.99,$46.00,"$1,599.84",$736.00,$863.84,54.0%
2025-02-21,South,Argentina,Apparel,Running Shoes,M. Silva,Online,1,$74.99,$39.74,$74.99,$39.74,$35.25,47.0%
2025-02-21,South,Argentina,Office,Notebook Set,M. Silva,Retail Store,24,$14.99,$8.69,$359.76,$208.56,$151.20,42.0%
2025-02-21,East,India,Office,Notebook Set,R. Chen,Online,1,$14.99,$8.69,$14.99,$8.69,$6.30,42.0%
2025-02-22,East,India,Electronics,Bluetooth Speaker,L. Rossi,Retail Store,5,$39.99,$20.39,$199.95,$101.95,$98.00,49.0%
2025-02-22,North,Canada,Apparel,Backpack,K. Ivanova,Retail Store,28,$54.99,$26.95,"$1,539.72",$754.60,$785.12,51.0%
2025-02-22,East,Japan,Apparel,Jacket,L. Rossi,Retail Store,9,$99.99,$46.00,$899.91,$414.00,$485.91,54.0%
2025-02-22,West,Germany,Electronics,Wireless Earbuds,J. Kim,Retail Store,40,$59.99,$34.79,"$2,399.60","$1,391.60","$1,008.00",42.0%
2025-02-23,South,Brazil,Office,Notebook Set,M. Silva,Online,39,$14.99,$8.69,$584.61,$338.91,$245.70,42.0%
2025-02-23,West,UK,Office,Monitor Arm,A. Patel,Retail Store,15,$64.99,$31.85,$974.85,$477.75,$497.10,51.0%
2025-02-24,West,UK,Home & Kitchen,Cookware Set,A. Patel,Retail Store,8,$119.99,$56.40,$959.92,$451.20,$508.72,53.0%
2025-02-24,South,Argentina,Apparel,Backpack,T. Novak,Online,26,$54.99,$26.95,"$1,429.74",$700.70,$729.04,51.0%
2025-02-24,East,Japan,Office,Desk Lamp,M. Silva,Wholesale,30,$29.99,$16.79,$899.70,$503.70,$396.00,44.0%
2025-02-24,North,USA,Apparel,Jacket,R. Chen,Online,26,$99.99,$46.00,"$2,599.74","$1,196.00","$1,403.74",54.0%
2025-02-24,North,Canada,Apparel,Running Shoes,T. Novak,Wholesale,37,$74.99,$39.74,"$2,774.63","$1,470.38","$1,304.25",47.0%
2025-02-24,West,UK,Electronics,Wireless Earbuds,L. Rossi,Retail Store,34,$59.99,$34.79,"$2,039.66","$1,182.86",$856.80,42.0%
2025-02-24,East,India,Electronics,Wireless Earbuds,K. Ivanova,Retail Store,31,$59.99,$34.79,"$1,859.69","$1,078.49",$781.20,42.0%
2025-02-24,North,USA,Electronics,Smart Watch,J. Kim,Wholesale,24,$149.99,$69.00,"$3,599.76","$1,656.00","$1,943.76",54.0%
2025-02-25,South,Brazil,Home & Kitchen,Cookware Set,M. Silva,Online,18,$119.99,$56.40,"$2,159.82","$1,015.20","$1,144.62",53.0%
2025-02-25,North,USA,Office,Monitor Arm,J. Kim,Online,40,$64.99,$31.85,"$2,599.60","$1,274.00","$1,325.60",51.0%
2025-02-25,South,Argentina,Home & Kitchen,Air Fryer,K. Ivanova,Retail Store,7,$89.99,$53.99,$629.93,$377.93,$252.00,40.0%
2025-02-26,East,India,Apparel,Sunglasses,J. Kim,Online,21,$34.99,$19.24,$734.79,$404.04,$330.75,45.0%
2025-02-26,North,USA,Electronics,Smart Watch,M. Silva,Wholesale,13,$149.99,$69.00,"$1,949.87",$897.00,"$1,052.87",54.0%
2025-02-26,East,Japan,Home & Kitchen,Coffee Maker,M. Silva,Online,9,$69.99,$41.29,$629.91,$371.61,$258.30,41.0%
2025-02-27,North,USA,Home & Kitchen,Coffee Maker,S. Owusu,Wholesale,29,$69.99,$41.29,"$2,029.71","$1,197.41",$832.30,41.0%
2025-02-27,South,Argentina,Home & Kitchen,Coffee Maker,A. Patel,Online,35,$69.99,$41.29,"$2,449.65","$1,445.15","$1,004.50",41.0%
2025-02-28,East,Japan,Electronics,Bluetooth Speaker,K. Ivanova,Online,20,$39.99,$20.39,$799.80,$407.80,$392.00,49.0%
2025-03-01,West,UK,Apparel,Running Shoes,L. Rossi,Online,35,$74.99,$39.74,"$2,624.65","$1,390.90","$1,233.75",47.0%
2025-03-01,South,Argentina,Electronics,Laptop Stand,A. Patel,Online,33,$24.99,$12.25,$824.67,$404.25,$420.42,51.0%
2025-03-01,South,Argentina,Apparel,Backpack,K. Ivanova,Retail Store,34,$54.99,$26.95,"$1,869.66",$916.30,$953.36,51.0%
2025-03-01,South,Argentina,Home & Kitchen,Cookware Set,L. Rossi,Retail Store,37,$119.99,$56.40,"$4,439.63","$2,086.80","$2,352.83",53.0%
2025-03-01,South,Brazil,Office,Desk Lamp,K. Ivanova,Online,29,$29.99,$16.79,$869.71,$486.91,$382.80,44.0%
2025-03-02,North,Canada,Office,Notebook Set,J. Kim,Online,37,$14.99,$8.69,$554.63,$321.53,$233.10,42.0%
2025-03-03,East,India,Office,Notebook Set,K. Ivanova,Online,8,$14.99,$8.69,$119.92,$69.52,$50.40,42.0%
2025-03-03,East,Japan,Office,Notebook Set,M. Silva,Online,7,$14.99,$8.69,$104.93,$60.83,$44.10,42.0%
2025-03-04,North,Canada,Electronics,Smart Watch,L. Rossi,Retail Store,26,$149.99,$69.00,"$3,899.74","$1,794.00","$2,105.74",54.0%
2025-03-04,West,Germany,Office,Notebook Set,J. Kim,Online,30,$14.99,$8.69,$449.70,$260.70,$189.00,42.0%
2025-03-04,South,Argentina,Office,Notebook Set,T. Novak,Retail Store,26,$14.99,$8.69,$389.74,$225.94,$163.80,42.0%
2025-03-04,East,Japan,Office,Monitor Arm,M. Silva,Online,4,$64.99,$31.85,$259.96,$127.40,$132.56,51.0%
2025-03-05,West,Germany,Office,Notebook Set,M. Silva,Online,6,$14.99,$8.69,$89.94,$52.14,$37.80,42.0%
2025-03-05,West,Germany,Home & Kitchen,Cookware Set,A. Patel,Online,4,$119.99,$56.40,$479.96,$225.60,$254.36,53.0%
2025-03-05,North,USA,Office,Notebook Set,J. Kim,Online,25,$14.99,$8.69,$374.75,$217.25,$157.50,42.0%
2025-03-05,East,Japan,Home & Kitchen,Cookware Set,R. Chen,Online,18,$119.99,$56.40,"$2,159.82","$1,015.20","$1,144.62",53.0%
2025-03-05,West,UK,Home & Kitchen,Cookware Set,S. Owusu,Retail Store,36,$119.99,$56.40,"$4,319.64","$2,030.40","$2,289.24",53.0%
2025-03-05,East,India,Home & Kitchen,Blender,M. Silva,Retail Store,33,$44.99,$28.34,"$1,484.67",$935.22,$549.45,37.0%
2025-03-05,West,Germany,Home & Kitchen,Cookware Set,A. Patel,Online,2,$119.99,$56.40,$239.98,$112.80,$127.18,53.0%
2025-03-05,North,USA,Electronics,Laptop Stand,S. Owusu,Wholesale,5,$24.99,$12.25,$124.95,$61.25,$63.70,51.0%
2025-03-06,North,Canada,Electronics,Laptop Stand,R. Chen,Wholesale,10,$24.99,$12.25,$249.90,$122.50,$127.40,51.0%
2025-03-06,West,UK,Electronics,Laptop Stand,J. Kim,Online,25,$24.99,$12.25,$624.75,$306.25,$318.50,51.0%
2025-03-07,North,Canada,Apparel,Running Shoes,S. Owusu,Online,14,$74.99,$39.74,"$1,049.86",$556.36,$493.50,47.0%
2025-03-07,South,Brazil,Office,Desk Chair,M. Silva,Retail Store,40,$179.99,$82.80,"$7,199.60","$3,312.00","$3,887.60",54.0%
2025-03-07,East,India,Apparel,Running Shoes,R. Chen,Online,20,$74.99,$39.74,"$1,499.80",$794.80,$705.00,47.0%
2025-03-07,West,Germany,Apparel,Sunglasses,T. Novak,Wholesale,17,$34.99,$19.24,$594.83,$327.08,$267.75,45.0%
2025-03-07,North,Canada,Electronics,Bluetooth Speaker,L. Rossi,Online,4,$39.99,$20.39,$159.96,$81.56,$78.40,49.0%
2025-03-08,North,Canada,Electronics,Laptop Stand,S. Owusu,Wholesale,28,$24.99,$12.25,$699.72,$343.00,$356.72,51.0%
2025-03-08,North,USA,Apparel,Sunglasses,K. Ivanova,Online,27,$34.99,$19.24,$944.73,$519.48,$425.25,45.0%
2025-03-08,East,India,Apparel,Running Shoes,A. Patel,Online,10,$74.99,$39.74,$749.90,$397.40,$352.50,47.0%
2025-03-08,South,Argentina,Electronics,Bluetooth Speaker,K. Ivanova,Retail Store,10,$39.99,$20.39,$399.90,$203.90,$196.00,49.0%
2025-03-08,North,Canada,Electronics,Wireless Earbuds,L. Rossi,Online,28,$59.99,$34.79,"$1,679.72",$974.12,$705.60,42.0%
